root - INFO - GridSearch Tuner 3MM - 2023-08-02 20:46:44.436237
autotvm - DEBUG - waiting for device...
autotvm - DEBUG - device available
autotvm - INFO - Get devices for measurement successfully!
autotvm - DEBUG - No: 1	GFLOPS: 1.03/1.03	result: MeasureResult(costs=(46.521358669,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.78620862960815, timestamp=1691027304.867109)	[('tile_y', 1), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,0
autotvm - DEBUG - No: 2	GFLOPS: 1.04/1.04	result: MeasureResult(costs=(46.074266532,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.59679532051086, timestamp=1691027397.4119337)	[('tile_y', 2), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,1
autotvm - DEBUG - No: 3	GFLOPS: 1.06/1.06	result: MeasureResult(costs=(45.273913519000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.14460730552673, timestamp=1691027489.496046)	[('tile_y', 4), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,2
autotvm - DEBUG - No: 4	GFLOPS: 1.05/1.06	result: MeasureResult(costs=(45.521614529,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.1702721118927, timestamp=1691027581.529)	[('tile_y', 5), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,3
autotvm - DEBUG - No: 5	GFLOPS: 1.09/1.09	result: MeasureResult(costs=(44.085398648,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.17223906517029, timestamp=1691027670.6035714)	[('tile_y', 8), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,4
autotvm - DEBUG - No: 6	GFLOPS: 1.06/1.09	result: MeasureResult(costs=(45.376795703999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.13836097717285, timestamp=1691027762.5134802)	[('tile_y', 10), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,5
autotvm - DEBUG - No: 7	GFLOPS: 1.07/1.09	result: MeasureResult(costs=(44.995717737999996,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.61499428749084, timestamp=1691027854.0495434)	[('tile_y', 20), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,6
autotvm - DEBUG - No: 8	GFLOPS: 1.08/1.09	result: MeasureResult(costs=(44.393960292,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.86605548858643, timestamp=1691027943.863787)	[('tile_y', 25), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,7
autotvm - DEBUG - No: 9	GFLOPS: 1.05/1.09	result: MeasureResult(costs=(45.795916312,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.7213225364685, timestamp=1691028037.4997044)	[('tile_y', 40), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,8
autotvm - DEBUG - No: 10	GFLOPS: 1.05/1.09	result: MeasureResult(costs=(45.601306164,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.46187400817871, timestamp=1691028129.86838)	[('tile_y', 50), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,9
autotvm - DEBUG - No: 11	GFLOPS: 1.09/1.09	result: MeasureResult(costs=(44.063285774,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.2262978553772, timestamp=1691028221.0074437)	[('tile_y', 100), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,10
autotvm - DEBUG - No: 12	GFLOPS: 1.09/1.09	result: MeasureResult(costs=(44.005424137,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.7104926109314, timestamp=1691028312.3869772)	[('tile_y', 125), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,11
autotvm - DEBUG - No: 13	GFLOPS: 1.05/1.09	result: MeasureResult(costs=(45.529248243000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.52145051956177, timestamp=1691028404.806197)	[('tile_y', 200), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,12
