p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
1,1,1,1,1,1,4.18,24.680299282073975
1000,1,25,10,80,800,3.54,30.65068292617798
500,100,1200,5,12,25,3.06,35.904584884643555
2,1,5,40,60,80,2.79,42.84099984169006
20,40,10,200,150,16,3.37,51.76844239234924
5,400,1,100,30,50,3.2,60.26441216468811
4,1,1200,250,200,200,2.97,68.49631762504578
10,1,24,20,600,50,3.21,77.06606841087341
250,1,80,2,10,400,2.8,85.1942994594574
250,1,1200,100,50,80,2.51,92.98160314559937
50,1,1200,4,50,8,2.63,100.91937398910522
200,1,1200,10,60,25,2.85,109.21841859817505
10,1,1200,4,12,1,2.89,117.38521552085876
50,25,1200,5,15,2,3.0,125.6150586605072
500,1,6,500,50,4,3.13,133.98163986206055
2,800,1200,25,50,80,2.68,141.93402743339539
20,800,240,20,50,80,3.28,150.48588156700134
2,800,1200,200,50,80,2.81,158.56635546684265
250,1,8,20,50,80,2.89,166.70946431159973
250,2,1200,10,50,80,2.66,174.74559831619263
250,5,1200,8,50,200,2.76,182.88558268547058
250,1,1,40,30,80,2.9,191.09491348266602
250,1,10,25,50,1,3.32,199.78008365631104
250,800,1200,4,2,1,3.39,211.21572709083557
100,2,1200,8,50,1,3.79,221.18148064613342
250,5,1200,40,50,5,3.51,230.53994512557983
25,800,1200,1000,50,80,2.73,238.6599543094635
250,10,1200,500,2,80,2.69,246.76099300384521
20,1,1200,5,50,800,3.4,255.44617438316345
20,10,1200,2,400,80,2.9,263.75914311408997
250,8,1200,20,10,80,2.73,271.8672730922699
2,1,80,250,50,80,2.89,280.0300705432892
250,1,1200,8,50,16,2.83,288.3417720794678
20,40,1200,20,8,80,2.89,296.5946002006531
250,40,1200,50,50,800,3.63,305.57166719436646
250,40,1200,8,4,80,3.07,313.89918327331543
8,1,1200,200,50,16,2.82,322.11477875709534
125,1,1200,40,300,1,3.71,331.15175127983093
50,2,1200,8,50,80,3.0,339.53528904914856
200,1,1200,1000,50,160,3.76,348.67436265945435
2,1,1200,25,50,160,4.58,358.57250118255615
250,1,5,100,50,10,3.5,367.5122957229614
25,1,1200,250,50,100,2.47,375.34467101097107
25,1,1200,4,50,400,2.77,383.4855659008026
40,1,1200,50,50,4,3.13,392.01992201805115
25,80,1200,20,50,10,3.43,400.8584442138672
4,1,1200,1,50,4,3.1,409.3782353401184
25,16,1200,250,50,32,3.33,418.2953085899353
5,1,1200,40,50,800,3.7,427.3765666484833
25,1,1200,125,150,5,3.43,436.1940801143646
250,20,30,25,50,80,3.04,444.67942547798157
25,25,1200,250,50,8,2.82,452.92154812812805
25,1,1200,250,25,16,2.86,461.18575620651245
5,1,4,250,50,160,3.45,470.0479941368103
25,4,600,250,240,160,3.71,479.1738591194153
2,2,1200,250,50,100,3.1,487.7033269405365
25,1,1200,250,15,4,3.09,496.19780254364014
25,1,60,250,300,25,2.85,504.5471041202545
250,1,300,250,50,400,2.46,512.5123386383057
25,1,200,250,50,2,2.87,520.792441368103
8,1,150,250,50,100,2.71,528.9104747772217
250,1,5,25,1,400,2.7,537.0470247268677
250,16,24,25,75,400,2.52,545.0597920417786
250,200,120,25,50,400,3.07,553.597757101059
250,200,300,25,3,400,2.6,561.7382462024689
2,1,120,25,20,400,3.11,570.4958622455597
2,1,300,1,48,400,2.8,578.859381198883
250,1,100,25,1200,400,2.56,586.9066054821014
250,200,100,40,2,400,2.91,595.2898952960968
250,40,20,25,6,400,2.85,604.1141741275787
2,1,48,250,20,400,2.65,612.3906269073486
2,1,1200,8,50,400,2.77,620.7000496387482
250,16,30,25,50,400,3.17,629.4203193187714
250,32,40,40,1200,400,3.08,637.995432138443
1,1,40,25,1,400,2.52,646.0867018699646
250,1,24,25,5,400,3.48,655.0409550666809
100,1,8,25,30,400,2.83,663.3945338726044
250,1,30,1,10,400,2.61,671.5617167949677
250,1,30,10,75,400,2.48,679.5643212795258
2,1,30,25,48,400,3.23,688.3424844741821
250,1,80,100,40,400,2.87,696.7298078536987
1000,1,2,25,150,400,2.79,705.0388395786285
125,32,300,25,25,400,2.57,713.2690186500549
20,800,300,25,4,400,2.49,721.39719581604
25,20,300,25,2,400,2.9,729.9597704410553
500,1,300,25,48,8,2.99,738.4878554344177
25,50,300,125,20,400,2.86,746.9008543491364
20,5,300,25,10,400,3.27,755.8543646335602
1,800,300,25,120,400,3.21,765.6161770820618
250,1,8,200,1,400,2.58,773.7077167034149
250,1,300,4,80,400,2.96,783.2326917648315
250,1,50,40,400,400,3.07,792.1651871204376
1,20,300,10,40,400,2.79,800.5852036476135
1,10,300,25,20,400,3.1,809.3077125549316
10,1,1200,100,50,8,2.79,817.8656024932861
250,1,1200,200,50,10,2.71,826.2726964950562
250,1,1200,25,6,400,2.78,834.7498888969421
250,1,50,25,100,400,2.69,843.1940903663635
250,1,30,20,10,400,3.51,852.4330291748047
