p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
1,1,1,1,1,1,2.94,17.39478087425232
1000,1,25,10,80,800,2.78,21.547452688217163
500,100,1200,5,12,25,2.48,25.29318356513977
2,1,5,40,60,80,2.19,29.892258644104004
20,40,10,200,150,16,2.53,36.00775337219238
5,400,1,100,30,50,2.5,42.041179895401
4,1,1200,250,200,200,2.23,47.8894157409668
10,1,24,20,600,50,2.39,53.929378032684326
250,1,80,2,10,400,2.22,59.6910514831543
250,1,1200,100,50,80,2.19,65.3820252418518
50,1,1200,4,50,8,2.29,71.23234343528748
200,1,1200,10,60,25,2.71,77.5522027015686
10,1,1200,4,12,1,2.37,83.49943375587463
125,1,3,250,60,32,2.61,89.67348289489746
1000,1,1200,40,150,200,2.19,95.47347593307495
1,1,1200,5,10,4,2.31,101.34792971611023
40,1,1200,100,60,32,2.66,107.54870557785034
20,1,1200,8,25,200,2.2,113.47009682655334
8,1,8,200,48,200,2.18,119.38572406768799
10,1,75,1000,8,200,2.21,125.25455498695374
10,1,10,125,1,200,2.25,131.22242546081543
1,1,80,125,60,200,2.23,137.15619373321533
1,5,4,8,60,200,2.25,143.16779017448425
1,20,300,200,60,200,2.18,149.12949752807617
25,1,400,25,25,20,2.29,155.17900323867798
1,1,6,500,60,200,2.17,161.0489056110382
1,1,30,200,80,40,2.22,166.8963577747345
1,1,40,40,40,4,2.49,173.0859842300415
1,200,300,50,60,200,2.17,178.977374792099
1,8,200,125,60,200,2.19,185.1136338710785
1,10,1200,50,1,200,2.21,191.05998921394348
1,32,40,100,80,200,2.19,196.96332263946533
1,1,1200,2,12,2,2.49,203.08193397521973
1,1,1200,100,25,80,2.25,209.09066724777222
1,1,1200,8,25,80,2.27,215.20765709877014
50,2,60,4,1,200,2.42,221.2680697441101
4,160,48,250,1,200,2.26,227.270010471344
1,1,80,200,5,80,2.24,233.21421027183533
1,1,8,1000,5,80,2.2,239.0778090953827
1,25,6,10,1,80,2.37,245.1297721862793
1,1,16,10,80,200,2.26,251.13558888435364
1,40,2,10,30,200,2.23,257.2385756969452
1,32,1200,10,20,200,2.22,263.20040488243103
125,800,10,10,60,80,2.24,269.29971504211426
25,800,20,10,60,200,2.19,275.2376832962036
4,100,100,10,60,200,2.19,281.21223187446594
200,2,600,10,60,200,2.22,287.13792967796326
125,40,200,10,60,80,2.19,293.2174654006958
4,50,240,10,1,80,2.43,299.38913464546204
250,1,16,50,1,80,2.36,305.49386858940125
2,1,40,250,1,200,2.22,311.5278959274292
250,1,12,10,1200,80,2.34,317.6892030239105
5,1,12,125,1,80,2.35,323.75090742111206
50,800,80,10,60,200,2.17,329.7508428096771
4,40,6,10,60,200,2.2,335.6768786907196
500,100,50,10,60,80,2.18,341.60678482055664
2,25,240,25,60,80,2.32,347.6220865249634
40,400,48,10,60,80,2.22,353.5586748123169
5,400,8,10,60,80,2.4,359.65780663490295
10,1,150,20,1,200,2.23,365.6044805049896
40,1,20,50,60,80,2.17,371.4867012500763
20,160,1200,8,80,200,2.23,377.51908898353577
125,800,200,10,60,80,2.16,383.46293091773987
125,8,100,10,60,80,2.25,389.4567747116089
8,400,12,50,80,200,2.33,395.6648564338684
40,1,80,1,1,200,2.26,401.6838490962982
10,1,120,125,80,200,2.19,407.6043472290039
25,1,5,10,80,200,2.26,413.68087577819824
8,1,240,40,60,80,2.38,419.9429450035095
200,1,6,50,60,200,2.2,425.9317111968994
200,400,400,500,60,200,2.18,432.0662932395935
200,800,5,4,25,200,2.23,438.10039949417114
125,25,4,200,80,80,2.25,444.1795585155487
125,25,1200,8,60,200,2.25,450.1895408630371
200,800,300,100,60,80,2.24,456.29568314552307
125,400,240,40,60,200,2.39,462.54590106010437
200,800,30,25,60,200,2.2,468.60303235054016
125,16,16,50,60,200,2.25,474.6672554016113
200,160,20,10,60,200,2.26,480.7844982147217
2,1,1,125,1,200,2.24,486.87071800231934
50,800,1,500,60,200,2.22,492.92392468452454
10,1,1,5,50,200,2.34,499.0075192451477
1,200,1,500,24,200,2.26,505.10742115974426
200,1,1,20,50,200,2.25,511.19041872024536
500,1,1,500,1200,200,2.31,517.3528821468353
1,1,1,4,60,200,2.21,523.2758123874664
125,200,1200,100,60,80,2.19,529.2435541152954
500,800,10,250,20,200,2.43,535.458582162857
200,2,1,8,60,80,2.19,541.3741858005524
1,1,120,250,80,200,2.38,547.4847111701965
50,800,15,100,60,200,2.2,553.5926644802094
1,16,1200,20,60,80,2.19,559.609457731247
100,1,10,10,150,200,2.23,565.6060719490051
40,100,1200,50,60,200,2.2,571.7815706729889
2,4,1,200,60,80,2.38,577.9616856575012
1,10,3,100,80,200,2.25,584.0157327651978
200,32,400,250,60,80,2.22,590.0548057556152
50,4,1,100,60,80,2.34,596.2057929039001
4,800,16,100,60,200,2.45,602.5088458061218
