p0,p1,RUNTIME,elapsed_sec
8,8,3.188,24.561961889266968
250,10,3.565,32.35016870498657
125,10,3.225,39.29098701477051
500,5,4.161,48.444297313690186
1000,16,4.484,58.16049265861511
125,400,2.328,65.20295000076294
40,10,4.008,74.29996371269226
500,400,2.444,81.28539443016052
8,40,2.706,88.75393557548523
10,2,4.09,96.56138634681702
125,4,3.308,104.20604634284973
125,1,5.976,113.63891124725342
125,5,3.27,121.23792147636414
125,80,2.716,126.03036832809448
125,2,4.166,135.3216290473938
125,1000,2.134,140.76471590995789
125,200,1.97,145.20658922195435
125,2000,1.973,149.8156123161316
125,500,2.224,157.09678101539612
125,16,3.287,165.54961466789246
125,20,3.367,171.56276869773865
125,25,3.283,179.87878036499023
125,40,1.907,186.97311234474182
125,50,1.853,193.7881908416748
125,250,2.21,199.5221815109253
125,8,2.846,206.89026927947998
125,100,2.691,212.0652084350586
125,125,2.752,219.64585900306702
2000,100,4.035,228.6372504234314
40,400,2.087,233.1670229434967
250,400,2.362,239.5218231678009
25,400,2.17,246.043359041214
50,400,2.11,250.98286414146423
1,400,4.428,259.7431333065033
20,400,2.169,263.71443486213684
4,400,2.615,271.4651961326599
400,400,2.446,278.772766828537
5,400,2.471,283.2701675891876
1000,400,2.553,289.7191183567047
2000,400,2.733,297.539968252182
80,400,2.071,304.41960191726685
100,400,2.081,309.582635641098
10,400,2.318,313.73556327819824
2,400,3.211,320.18716526031494
200,400,2.451,331.9033839702606
8,400,2.312,338.41478729248047
16,400,2.261,342.9072799682617
1,20,5.909,351.91939544677734
25,250,2.178,359.1778132915497
50,80,2.723,367.2042508125305
5,8,4.195,378.1420316696167
20,500,2.135,385.95261216163635
250,250,2.323,391.12676095962524
40,250,2.237,396.72064208984375
8,250,2.392,402.11824202537537
400,250,2.429,410.58109974861145
1000,250,2.691,418.3961477279663
8,25,3.562,427.5742862224579
500,250,2.441,436.58429622650146
8,200,2.333,441.0581350326538
8,500,2.33,446.46964931488037
250,500,2.51,450.83409571647644
25,500,2.111,455.29970026016235
2,500,3.332,460.62839460372925
80,500,2.031,466.50933051109314
2000,500,3.095,474.74384093284607
1000,500,2.528,479.3763725757599
1,500,4.5,488.6921076774597
1,250,5.146,495.97162532806396
50,250,2.093,501.45483112335205
2000,250,2.826,507.4718391895294
2,250,3.467,514.5574171543121
80,250,2.377,522.0176718235016
200,250,2.256,529.4039196968079
100,250,2.2,534.045378446579
500,500,2.363,541.3831150531769
16,250,2.214,548.5305123329163
4,250,2.775,552.9998104572296
