p0,p1,RUNTIME,elapsed_sec
8,8,105.817,138.1284098625183
160,1000,16.908,169.83664059638977
20,16,35.655,215.73192071914673
400,5,41.352,268.20173692703247
400,800,17.784,297.0032730102539
800,400,20.862,326.3366575241089
250,8,27.676,362.3557233810425
400,25,31.276,403.56614351272583
40,40,17.448,432.27907133102417
10,10,32.96,476.1372196674347
80,10,30.769,519.0012798309326
125,80,21.305,548.6123015880585
2000,40,35.538,595.0184547901154
100,32,15.187,621.2702741622925
16,8,33.481,664.5369799137115
50,8,25.451,700.8741109371185
20,8,31.599,742.7761769294739
5,8,53.079,805.4553115367889
10,8,91.97,907.6475110054016
1000,8,54.079,972.2039048671722
32,500,18.72,1001.8190400600433
1,25,56.433,1066.7937607765198
2,125,41.983,1118.424892425537
2,400,44.983,1173.1058557033539
8,1,63.629,1246.499104976654
20,2,52.414,1309.4109981060028
4000,100,37.686,1357.5992243289948
400,8,37.355,1405.1500406265259
1000,25,52.225,1466.643352985382
250,250,20.201,1496.3733007907867
10,500,21.837,1527.3481352329254
10,400,21.886,1559.201274394989
10,5,88.655,1657.7656507492065
10,50,26.883,1695.9449071884155
10,800,19.51,1725.8589272499084
10,2000,18.421,1754.913774728775
10,160,20.227,1785.713061094284
10,16,33.992,1830.4977860450745
10,250,20.212,1861.3286938667297
10,4000,16.99,1888.0322453975677
10,125,24.066,1919.0743255615234
10,4,52.494,1981.3872842788696
10,1000,18.573,2009.47558426857
10,32,22.319,2041.0944135189056
10,40,28.228,2077.812594652176
10,100,24.516,2110.927070617676
10,80,26.303,2146.724695920944
10,2,53.785,2209.3363325595856
10,200,19.96,2241.2286744117737
10,1,59.429,2310.9514315128326
10,20,30.162,2352.3322467803955
10,25,30.81,2392.982860803604
4000,40,36.232,2440.0111677646637
8,400,20.893,2470.6960594654083
8,125,28.012,2507.332736968994
8,40,23.936,2541.2310225963593
8,32,30.891,2581.021632671356
8,20,64.978,2655.2652428150177
250,400,19.178,2684.9218049049377
2000,400,24.461,2719.1378886699677
25,400,18.416,2748.1967916488647
80,400,18.822,2776.0841958522797
160,400,18.364,2804.0511174201965
20,400,18.41,2831.320542573929
32,400,17.455,2858.3462557792664
40,400,17.003,2886.2527685165405
500,400,19.48,2916.4646966457367
400,400,19.5,2946.4723699092865
5,400,26.373,2979.8633420467377
4,400,25.728,3015.3720393180847
4000,400,52.615,3077.752203941345
1,400,68.448,3156.9430677890778
125,400,18.779,3185.6222307682037
50,400,17.076,3211.1393225193024
1000,400,20.403,3239.5039715766907
200,400,21.055,3270.2817766666412
100,400,18.517,3300.106868982315
16,400,19.195,3331.8176307678223
1,32,83.094,3425.6600320339203
400,32,18.462,3456.5681993961334
250,32,15.446,3482.1479029655457
32,32,14.097,3504.625067949295
2000,32,37.05,3552.6153993606567
800,32,27.597,3591.8335497379303
5,32,73.858,3675.3517305850983
80,32,13.858,3700.7540950775146
50,32,17.341,3726.334713459015
40,32,13.77,3747.765261411667
125,32,15.705,3773.1007809638977
160,32,15.552,3799.747756958008
2,32,26.702,3836.821601629257
4,32,77.558,3925.816196203232
500,32,20.266,3959.5752079486847
25,32,14.771,3985.3518238067627
200,32,14.652,4011.2777802944183
16,32,30.699,4052.7337770462036
1000,32,32.88,4098.148440122604
20,32,14.746,4124.027549982071
4000,32,36.889,4169.275750637054
