p0,p1,RUNTIME,elapsed_sec
1,1,12.378,34.784857511520386
250,10,3.435,41.15167427062988
125,10,3.242,46.602041721343994
500,5,4.046,52.812427282333374
1000,16,4.671,59.41700839996338
125,400,2.18,66.11172413825989
40,10,3.993,75.30065321922302
20,10,4.071,81.89126801490784
8,40,2.751,87.209636926651
10,2,4.128,96.58655214309692
125,4,3.406,104.46078944206238
125,1,6.003,113.14965772628784
400,20,3.335,121.53753542900085
40,2000,2.032,125.76615476608276
4,50,2.845,131.29462933540344
250,16,3.302,137.3102309703827
1,16,26.779,169.141503572464
25,10,5.539,179.85834002494812
4,16,3.964,187.75796389579773
200,20,3.319,196.31152844429016
1000,40,3.702,205.10705542564392
250,5,3.661,213.9997091293335
100,25,3.319,222.65343403816223
400,100,2.876,228.6539764404297
2,40,3.162,233.95159006118774
5,500,2.483,238.43593049049377
8,2,4.197,245.3412003517151
25,400,2.114,251.2787401676178
2000,100,3.907,258.1925628185272
40,400,2.096,265.4314069747925
1,400,4.404,274.79125928878784
200,400,2.45,282.34964323043823
50,400,2.139,289.4229769706726
2000,400,2.898,297.29051899909973
40,16,4.182,303.4234449863434
80,16,3.429,312.05219411849976
10,16,3.292,320.4261953830719
25,16,4.801,330.2850203514099
16,16,3.501,338.78466176986694
5,16,4.693,348.32997393608093
2,16,15.86,366.37310695648193
1,40,3.981,375.34466767311096
250,400,2.375,380.4910776615143
2,400,3.266,388.7352294921875
2,1000,3.286,394.3301417827606
2,200,3.525,403.1805679798126
2,250,3.489,408.8680419921875
2,8,4.492,418.24917006492615
8,16,3.404,426.3638508319855
2000,16,6.296,437.7769293785095
100,16,3.374,446.13491201400757
20,16,3.483,454.69929814338684
20,400,2.123,461.6575286388397
400,16,3.443,470.34167861938477
200,16,3.177,478.7443518638611
500,16,3.145,486.91823077201843
50,16,3.889,495.92533326148987
125,16,3.308,504.35138273239136
100,400,2.105,509.219863653183
500,400,2.433,514.7453532218933
2,20,4.814,522.2946751117706
2,50,3.147,530.5364305973053
2,2,7.405,543.0804364681244
1,20,5.803,553.8336837291718
400,400,2.595,561.4533808231354
1,250,5.088,571.849301815033
1,500,4.533,578.897561788559
1,1000,4.792,588.8502278327942
1,125,5.186,595.8710916042328
2,2000,3.067,602.4303739070892
2,500,3.298,607.8704571723938
2,5,5.348,617.170205116272
1,25,5.447,626.339480638504
2,125,3.976,635.4337012767792
1,10,15.858,656.1900396347046
2,4,4.391,665.460352897644
2,25,4.903,675.595011472702
2,80,3.428,681.1620066165924
2,100,3.39,686.4409120082855
2,1,15.87,707.1710262298584
400,1,10.682,723.0654184818268
400,40,1.928,729.843377828598
400,50,1.959,733.5710849761963
400,4,3.998,742.7868461608887
400,200,2.42,750.4479410648346
400,125,2.966,758.4759750366211
400,8,3.518,763.8532581329346
400,1000,2.163,767.8558969497681
400,2000,2.166,775.0764591693878
400,80,2.407,782.5135374069214
400,250,2.444,789.6353633403778
400,500,2.379,794.0371844768524
400,5,4.023,802.9682488441467
400,25,3.527,811.1623573303223
400,10,3.665,817.9092743396759
400,2,5.604,828.4309158325195
1,80,4.305,837.9362437725067
1,200,4.934,844.8197524547577
1,50,4.019,852.0743761062622
