p0,p1,RUNTIME,elapsed_sec
8,8,3.297,23.14557933807373
250,10,3.315,32.43724536895752
125,10,3.322,38.731897830963135
500,5,3.863,47.109418869018555
1000,16,4.904,59.34950113296509
125,400,2.206,66.37888646125793
40,10,4.023,73.37203741073608
500,400,2.471,79.28014945983887
8,40,2.728,86.1472818851471
10,2,4.109,94.13233804702759
125,4,3.318,101.42566418647766
125,1,6.234,113.89028668403625
125,5,3.242,122.5913097858429
125,80,2.667,129.8870186805725
125,2,3.958,138.38688445091248
125,1000,2.16,145.56346487998962
125,200,2.138,152.3564693927765
125,2000,2.057,157.50673723220825
125,500,2.263,161.5847728252411
125,16,3.277,166.46008110046387
125,20,3.278,171.4492928981781
125,25,3.293,176.3844017982483
125,40,1.912,180.04044342041016
125,50,1.845,184.05161333084106
125,250,2.232,188.78471636772156
125,8,2.839,196.0434331893921
125,100,2.684,203.91738986968994
125,125,2.769,212.5673005580902
2000,100,4.077,220.90671968460083
40,400,2.115,228.4630947113037
250,400,2.348,235.32986402511597
25,400,2.147,241.5229687690735
50,400,2.084,247.42848372459412
1,400,4.421,254.4876368045807
20,400,2.194,259.2762863636017
4,400,2.613,266.02739906311035
400,400,2.467,274.94484186172485
5,400,2.529,282.29973793029785
1000,400,2.568,288.5434000492096
2000,400,2.776,295.8716616630554
80,400,2.13,302.736980676651
100,400,2.219,309.5557553768158
10,400,2.302,315.3715693950653
2,400,3.241,322.011079788208
200,400,2.633,329.20725083351135
8,400,2.391,336.9662940502167
16,400,2.203,342.76782035827637
1,20,5.795,351.6318554878235
25,250,2.175,360.1996326446533
50,80,2.684,367.6279058456421
5,8,4.92,376.5336492061615
20,500,2.148,384.92790818214417
250,250,2.31,390.8027467727661
40,250,2.22,395.8773846626282
8,250,2.705,401.96176075935364
400,250,2.481,407.708087682724
1000,250,2.708,412.54832911491394
8,25,3.526,417.7451663017273
500,250,2.555,422.03768730163574
8,200,2.369,426.0878827571869
8,500,2.355,430.1834509372711
250,500,2.427,435.0620012283325
25,500,2.121,440.12050771713257
2,500,3.316,447.25593876838684
80,500,2.181,454.04105949401855
1000,500,2.577,459.3256332874298
1,500,4.518,466.79174399375916
1,250,5.388,475.8119263648987
2000,250,2.848,482.0478627681732
50,250,2.08,487.3299639225006
16,250,2.229,492.5551435947418
2,250,3.566,498.843790769577
80,250,2.249,504.2678470611572
200,250,2.45,509.7230534553528
4,500,2.654,515.3499209880829
20,250,2.237,520.7125105857849
100,250,2.258,525.9999625682831
4,250,2.757,531.6582818031311
10,250,2.342,537.0611972808838
10,500,2.294,542.3629937171936
2000,500,3.118,548.6186380386353
5,250,2.651,554.353401184082
5,500,2.479,559.9541921615601
500,500,2.355,564.6637237071991
100,500,2.179,568.7163171768188
50,500,2.161,572.706378698349
16,500,2.242,576.7188284397125
400,500,2.543,580.9197170734406
200,500,2.403,585.9742255210876
40,500,2.112,591.347856760025
8,5,3.883,598.1764738559723
8,16,3.375,604.6774995326996
16,8,3.394,611.075795173645
50,20,3.406,617.787136554718
8,20,3.426,624.7034993171692
25,20,3.206,631.2585318088531
8,2,4.051,638.7071218490601
80,20,3.154,645.1960391998291
1000,20,6.642,655.1122102737427
