p0,p1,RUNTIME,elapsed_sec
1,1,298.392,318.85197162628174
160,1000,17.533,340.6628439426422
20,16,36.363,379.13089203834534
400,5,40.456,421.72587156295776
400,800,18.378,442.580778837204
800,400,21.775,466.82608366012573
250,8,29.813,499.08945631980896
400,25,33.092,534.6452805995941
40,40,19.805,557.0632662773132
400,400,20.557,580.1838545799255
80,10,30.432,613.0109438896179
400,200,21.391,636.7438788414001
400,4,39.745,678.761958360672
100,32,15.014,696.1801769733429
16,8,32.887,731.4322326183319
125,100,21.613,755.3527941703796
2000,1,500.0,1334.4317917823792
400,40,19.067,1356.0129342079163
400,8,34.516,1393.0517258644104
16,1000,17.175,1412.617311000824
32,500,19.148,1434.329585313797
1,25,56.969,1493.8343646526337
2,125,37.969,1534.2263295650482
2,400,52.086,1588.8307778835297
500,400,20.214,1611.3791782855988
1000,400,22.023,1635.8914830684662
4000,100,35.445,1673.657568693161
25,400,17.832,1693.8200788497925
1000,25,57.474,1753.8486618995667
200,400,19.772,1776.0816926956177
160,400,20.261,1798.8695423603058
10,400,20.1,1821.4819333553314
400,2,56.799,1880.6633551120758
160,8,27.083,1910.2799870967865
50,400,18.638,1931.4883666038513
16,400,18.526,1952.4471004009247
25,8,29.17,1984.135421514511
80,8,26.077,2012.5104563236237
16,2000,16.711,2031.777865409851
2000,400,24.329,2058.7264630794525
4000,8,88.35,2149.6808445453644
16,20,28.592,2180.68559384346
16,40,24.655,2207.808059692383
16,1,51.091,2261.5828812122345
400,1,116.466,2380.6825602054596
16,80,28.28,2411.4866902828217
16,800,17.923,2431.8454780578613
160,40,14.583,2448.7238302230835
4,40,29.485,2480.790543794632
160,5,37.114,2520.3908262252808
5,40,76.335,2599.3180589675903
160,4,31.624,2633.307199716568
4,4,76.755,2712.6435158252716
160,500,19.287,2734.366096973419
160,100,21.903,2758.7661306858063
16,200,17.949,2779.0711431503296
160,80,21.887,2803.569787502289
160,125,23.556,2829.521242618561
8,100,25.417,2857.301178216934
500,100,35.6,2895.2913966178894
200,100,22.854,2920.5797045230865
32,100,18.805,2941.8491847515106
2,100,72.68,3016.978654384613
160,2000,16.455,3035.9368829727173
10,40,26.46,3064.75075507164
4,16,44.752,3112.0965416431427
80,160,16.851,3131.3285694122314
80,32,13.99,3147.8716394901276
80,80,21.45,3171.9816768169403
80,5,31.078,3205.4332315921783
80,200,17.183,3225.041423559189
80,20,25.067,3252.5440649986267
16,160,21.982,3277.1304206848145
40,200,16.907,3296.4056367874146
50,200,16.162,3315.1615204811096
250,200,22.225,3339.930481672287
25,200,17.23,3359.6338410377502
2000,200,28.884,3391.0261158943176
800,200,25.475,3418.985469341278
5,200,30.131,3451.471313238144
2000,100,36.701,3490.6742668151855
2000,40,42.852,3535.996721506119
2000,32,41.195,3579.675114631653
2000,2000,46.141,3628.2797191143036
2000,800,33.972,3664.5575666427612
2000,5,171.885,3838.9361889362335
2000,4000,46.111,3887.5387592315674
2000,250,24.778,3914.724871635437
2000,16,50.868,3967.9854123592377
2000,500,24.639,3995.202865600586
2000,10,108.139,4105.993449211121
2000,1000,43.914,4152.338438510895
2000,125,35.343,4190.068985700607
2000,80,48.667,4241.272983789444
2000,20,67.315,4311.082302570343
200,200,21.128,4334.622021198273
16,5,41.516,4378.666825056076
80,50,14.975,4396.239510297775
125,200,17.342,4416.12223482132
