p0,p1,RUNTIME,elapsed_sec
1,1,13.131,31.762958765029907
250,10,3.368,37.98117971420288
125,10,3.202,44.191582441329956
500,5,3.865,50.77650713920593
1000,16,4.534,57.37513852119446
125,400,2.177,63.056233644485474
40,10,3.999,69.8321635723114
500,400,2.445,75.54991841316223
8,40,2.795,81.16451334953308
10,2,6.567,89.84400534629822
125,4,3.459,94.97515773773193
125,1,6.575,104.45670938491821
2,10,8.135,115.88250732421875
125,80,2.693,121.87345480918884
125,2,4.246,129.0971348285675
125,1000,2.327,133.8190722465515
125,200,1.951,137.5122528076172
125,2000,2.013,141.10462522506714
125,500,2.27,145.03819632530212
125,16,3.308,149.81569647789001
125,20,3.266,154.51393580436707
125,25,3.313,161.20136523246765
100,25,3.476,167.89037156105042
400,100,2.89,174.03044271469116
2,40,3.788,180.81261014938354
250,16,3.186,187.30649781227112
8,2,6.58,196.81774806976318
25,400,2.337,202.4836835861206
10,400,2.358,208.20079255104065
40,400,2.145,213.4077069759369
250,400,2.466,218.69704723358154
1,400,5.293,227.2761652469635
50,400,2.21,232.10396432876587
2000,400,2.878,236.92763876914978
20,400,2.21,240.6646704673767
4,400,2.755,244.89712285995483
400,400,2.458,248.86222791671753
5,400,2.76,254.5930778980255
1000,400,2.569,260.52578711509705
200,400,2.349,266.3080132007599
80,400,2.285,271.95346331596375
100,400,2.121,277.0756793022156
16,400,2.262,282.56884264945984
2,400,3.534,288.9548296928406
8,400,2.401,293.30637311935425
25,200,2.071,296.8653919696808
16,50,3.309,303.4232349395752
1,20,6.77,313.4298253059387
25,250,2.23,319.10176706314087
25,4,3.988,325.82363867759705
25,8,3.464,331.13713693618774
25,80,1.877,334.6692979335785
25,1000,2.098,339.8609881401062
25,40,2.047,345.49902629852295
25,50,1.919,350.78523325920105
25,10,5.811,359.90514039993286
25,25,3.303,366.7116069793701
25,125,2.309,371.99587082862854
25,2000,2.038,375.6953568458557
25,500,2.335,379.51037216186523
25,20,3.326,384.3413279056549
25,100,1.824,387.5956463813782
25,5,4.595,393.6746406555176
25,1,5.759,402.7259376049042
25,16,4.874,410.80453515052795
125,40,1.937,416.2453553676605
125,100,2.675,422.14542531967163
1,40,5.465,430.7010462284088
125,250,2.131,435.93171405792236
125,8,2.903,442.15383529663086
125,125,2.772,448.2977924346924
125,50,1.869,453.0453522205353
125,5,3.39,459.72799038887024
1000,1,15.732,478.5486226081848
1000,40,3.925,484.64215207099915
1000,100,3.846,490.78250312805176
1000,50,3.572,497.75145411491394
1000,2000,3.129,504.269015789032
1000,500,2.495,510.1314535140991
1000,250,2.683,515.9585287570953
1000,1000,2.29,521.5730392932892
1000,125,3.628,527.7739224433899
1000,8,5.079,534.5442991256714
1000,200,2.909,540.6561048030853
1000,4,6.497,550.4879624843597
1000,80,3.91,557.9373106956482
1000,25,5.933,566.4148812294006
1000,5,6.205,574.2014000415802
25,2,4.492,581.5733413696289
1000,20,6.262,591.2359137535095
80,1,6.729,601.2570865154266
1,50,5.015,609.5018022060394
2,100,3.593,614.9392256736755
20,40,1.971,618.4194242954254
400,40,1.96,621.8534827232361
5,40,3.16,626.4916415214539
50,40,1.762,629.739500284195
10,40,3.236,635.9594151973724
200,40,1.876,640.9229252338409
