p0,p1,RUNTIME,elapsed_sec
1,1,11.926,20.496464729309082
250,10,3.53,25.055745363235474
125,10,3.25,29.38753318786621
500,5,3.908,34.671810150146484
1000,16,4.576,40.699822664260864
125,400,2.252,44.494566679000854
40,10,4.035,50.01919221878052
500,400,2.506,54.03530406951904
8,40,3.021,58.539432525634766
10,2,6.68,66.76517581939697
125,4,3.462,71.70348048210144
125,1,6.56,79.7705864906311
2,10,8.022,89.24886465072632
125,80,2.867,93.63850045204163
125,2,4.121,99.20512223243713
125,1000,2.183,102.86022543907166
125,200,1.966,106.31413197517395
125,2000,2.03,109.76597356796265
125,500,2.274,113.48485827445984
125,16,3.287,118.22983956336975
125,20,3.303,123.0664484500885
125,25,3.481,128.16395807266235
125,40,1.897,131.56824326515198
125,50,1.862,134.91741847991943
125,250,2.239,138.6189570426941
125,8,2.936,143.02603363990784
125,100,2.669,147.14305901527405
125,5,3.371,151.95225977897644
125,125,2.781,156.16240048408508
40,400,2.136,159.7558081150055
250,400,2.424,163.67782592773438
25,400,2.177,167.56284308433533
50,400,2.139,171.1581094264984
1,400,5.332,177.9707703590393
20,400,2.206,181.68079328536987
4,400,2.829,185.9694528579712
400,400,2.479,189.9082543849945
5,400,2.641,194.01906156539917
1000,400,2.552,198.03978610038757
2000,400,2.829,202.48107266426086
80,400,2.138,206.06279873847961
100,400,2.186,209.7403244972229
10,400,2.371,213.59213161468506
2,400,3.634,218.6881296634674
200,400,2.403,222.52606534957886
8,400,2.414,226.38732957839966
16,400,2.265,230.13404941558838
1,20,10.429,242.01825618743896
25,250,2.198,245.65495944023132
50,80,2.691,249.85217308998108
5,8,4.685,255.9799427986145
2000,8,8.687,266.09378385543823
250,250,2.376,270.08440613746643
40,250,2.294,273.8472819328308
8,250,2.484,277.78525161743164
400,250,2.461,281.68687415122986
1000,250,2.689,285.8667812347412
200,250,2.259,289.5699326992035
1,250,5.525,296.5990273952484
2,250,3.846,301.98972606658936
4,250,2.823,306.31261920928955
5,250,2.744,310.4931306838989
500,250,2.446,314.40117144584656
80,250,2.213,318.05381178855896
10,250,2.357,321.9032549858093
16,250,2.26,325.6375503540039
10,25,3.602,330.70771765708923
10,5,4.668,336.8280711174011
2000,250,2.781,341.05841183662415
2000,2000,5.091,347.5656611919403
100,250,2.219,351.2592809200287
20,250,2.228,354.95021319389343
50,250,2.097,358.5066981315613
50,40,1.769,361.7528576850891
1000,40,3.759,366.97466707229614
100,40,1.907,370.33004117012024
16,40,3.163,375.16888880729675
400,40,2.006,378.66286730766296
2,40,3.567,383.7419319152832
2000,40,4.351,389.5860421657562
1,40,5.387,396.4121992588043
10,40,3.243,401.148668050766
50,4,3.667,406.2956988811493
4,40,2.944,410.9061584472656
50,2000,2.043,414.4037356376648
50,125,2.831,418.72189378738403
50,8,3.045,423.2334978580475
50,50,1.77,426.4959454536438
50,500,2.165,430.0924959182739
50,10,3.606,435.17483949661255
100,20,3.175,439.8300266265869
50,20,3.426,444.74881196022034
400,20,3.345,449.5651624202728
25,20,3.284,454.35600113868713
50,2,4.565,460.3983883857727
50,25,3.252,465.181768655777
2000,20,7.901,474.52731108665466
5,20,4.32,480.34303307533264
50,1000,2.102,483.920028924942
50,1,6.362,491.7657504081726
50,16,3.917,497.21331095695496
50,200,2.011,500.70362186431885
50,100,2.051,504.2224884033203
50,5,3.706,509.354834318161
100,1,7.052,517.8652622699738
100,8,2.957,522.3300309181213
100,1000,2.177,525.9817309379578
100,4,3.534,530.9883983135223
100,2000,2.032,534.4866864681244
100,80,2.691,538.6560225486755
100,200,1.955,542.0173795223236
100,125,2.949,546.4268836975098
100,50,1.889,549.7845106124878
100,500,2.218,553.4768557548523
100,100,2.682,557.6425344944
100,25,3.329,562.4846522808075
20,50,1.912,565.8886094093323
400,50,2.191,569.574827671051
4,50,3.234,574.2844083309174
200,50,1.866,577.6064560413361
80,50,1.889,580.9690954685211
10,50,3.401,585.8660640716553
40,50,1.796,589.1161344051361
5,50,3.106,593.7262649536133
25,50,1.906,597.1284446716309
250,50,1.886,600.5086939334869
2,50,3.39,605.3604881763458
16,50,3.318,610.2114210128784
8,50,3.28,614.9974887371063
500,50,2.594,619.0983033180237
1000,50,3.589,624.2255358695984
25,200,2.065,627.7436721324921
20,200,2.114,631.3290576934814
400,200,2.429,635.2560300827026
40,200,2.024,638.7985968589783
200,200,2.306,642.5752334594727
80,200,1.968,646.0189139842987
10,200,2.312,649.8145048618317
5,200,2.766,654.0586347579956
2,200,3.84,659.3714792728424
40,2000,2.051,662.9040684700012
80,2000,2.027,666.4001672267914
25,2000,2.06,669.9385418891907
400,2000,2.047,673.4623506069183
20,2000,2.045,677.015721321106
200,2000,2.032,680.5159170627594
250,2000,2.028,684.0359303951263
10,2000,2.355,687.8609392642975
500,2000,2.033,691.3544008731842
5,2000,2.328,695.1734211444855
16,2000,2.095,698.7968907356262
4,2000,2.396,702.6873528957367
1000,2000,3.198,707.3820431232452
25,500,2.159,711.0089001655579
80,500,2.165,714.7030305862427
80,1000,2.172,718.3378324508667
25,1000,2.306,722.1710195541382
25,125,2.353,726.0137941837311
25,100,1.853,729.3383994102478
25,80,1.884,732.7232310771942
25,8,3.558,737.7887861728668
80,125,2.799,742.0906054973602
80,100,2.681,746.2564549446106
25,2,4.728,752.4620337486267
40,1000,2.142,756.1293461322784
20,1000,2.14,759.9540574550629
20,500,2.185,763.6220457553864
20,100,1.833,766.9282324314117
20,80,1.894,770.2861919403076
20,125,2.89,774.6663372516632
200,1000,2.18,778.3397102355957
200,100,2.682,782.5204634666443
40,100,2.702,786.6839909553528
25,4,4.051,792.2360706329346
200,500,2.4,796.178124666214
20,16,5.187,802.8588037490845
20,40,1.971,806.3254692554474
80,80,2.706,810.5395965576172
40,500,2.135,814.2053310871124
25,40,2.155,817.8771259784698
20,1,5.747,825.1196007728577
8,2000,2.374,829.013060092926
80,40,1.913,832.4332394599915
40,40,2.088,836.0451662540436
200,40,1.868,839.3867933750153
250,40,1.88,842.7448868751526
500,40,2.192,846.4565556049347
20,25,3.376,851.380774974823
10,1000,2.327,855.2238476276398
1,2000,3.831,860.6293511390686
2000,200,2.846,865.1412703990936
2000,1000,4.962,871.5928356647491
10,500,2.366,875.5150821208954
10,100,2.955,879.9762423038483
1,200,5.521,887.0050163269043
500,200,2.498,891.000706911087
250,200,2.402,894.8966109752655
2,2000,2.893,899.2909395694733
40,80,2.721,903.7377617359161
