root - INFO - GridSearch Tuner 3MM - 2023-07-20 04:49:19.292013
autotvm - DEBUG - waiting for device...
autotvm - DEBUG - device available
autotvm - INFO - Get devices for measurement successfully!
autotvm - DEBUG - No: 1	GFLOPS: 1.09/1.09	result: MeasureResult(costs=(44.231939814,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.21949577331543, timestamp=1689846655.1004949)	[('tile_y', 1), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,0
autotvm - DEBUG - No: 2	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.498854984,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.89143347740173, timestamp=1689846745.965028)	[('tile_y', 2), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,1
autotvm - DEBUG - No: 3	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.99430187,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.7837061882019, timestamp=1689846837.4288423)	[('tile_y', 4), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,2
autotvm - DEBUG - No: 4	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.875662527,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.32069849967957, timestamp=1689846928.6202862)	[('tile_y', 5), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,3
autotvm - DEBUG - No: 5	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.017302479,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.42978048324585, timestamp=1689847021.0099747)	[('tile_y', 8), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,4
autotvm - DEBUG - No: 6	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.351046578,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.27529382705688, timestamp=1689847114.267727)	[('tile_y', 10), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,5
autotvm - DEBUG - No: 7	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.767551269,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.31136989593506, timestamp=1689847205.4281988)	[('tile_y', 20), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,6
autotvm - DEBUG - No: 8	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.032393152,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.02127814292908, timestamp=1689847297.4239798)	[('tile_y', 25), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,7
autotvm - DEBUG - No: 9	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.943039453,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.58195519447327, timestamp=1689847388.9694197)	[('tile_y', 40), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,8
autotvm - DEBUG - No: 10	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.143939204,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.59084844589233, timestamp=1689847478.5386293)	[('tile_y', 50), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,9
autotvm - DEBUG - No: 11	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(43.867728184,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.98434066772461, timestamp=1689847569.5052066)	[('tile_y', 100), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,10
autotvm - DEBUG - No: 12	GFLOPS: 1.10/1.10	result: MeasureResult(costs=(43.680684018,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.99069786071777, timestamp=1689847660.4094665)	[('tile_y', 125), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,11
autotvm - DEBUG - No: 13	GFLOPS: 1.09/1.10	result: MeasureResult(costs=(44.127184553,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.57291603088379, timestamp=1689847750.9684334)	[('tile_y', 200), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,12
autotvm - DEBUG - No: 14	GFLOPS: 1.08/1.10	result: MeasureResult(costs=(44.568451789,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.32894802093506, timestamp=1689847843.1939104)	[('tile_y', 250), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,13
