p0,p1,RUNTIME,elapsed_sec
1,1,58.93,84.52782893180847
8,2,17.41,103.2197277545929
2,32,8.87,113.34262585639954
32,1024,2.32,117.09678792953491
1,512,4.83,123.23459982872009
512,1,110.68,235.33315086364746
32,4,26.37,263.3253529071808
1024,2,62.23,326.98175072669983
128,16,4.31,333.1145899295807
512,64,2.8,337.22308468818665
128,8,14.32,352.8414936065674
1024,64,4.84,359.1363048553467
2,16,13.04,373.48093485832214
8,256,2.6,377.632052898407
2048,32,5.69,384.6005849838257
64,8,13.99,399.83880400657654
2048,512,3.92,405.22357082366943
16,8,13.73,420.32569670677185
128,2,58.06,479.9999806880951
256,16,4.71,486.9208548069
256,2048,1.95,490.3251838684082
16,16,6.55,498.1391577720642
4,4,14.93,514.5715799331665
2048,16,11.5,528.3503057956696
512,4,26.52,556.2919759750366
512,16,4.67,562.4383249282837
2048,128,5.69,569.4118158817291
2048,2048,2.68,573.3511166572571
2048,256,5.03,579.6491267681122
2048,1024,4.14,585.039794921875
2048,64,5.61,591.9085557460785
2048,2,62.54,655.6988339424133
2048,1,127.24,784.3919548988342
2048,8,13.03,798.898619890213
2048,4,28.38,828.7058339118958
16,64,3.81,833.9646828174591
4,64,5.16,840.3287198543549
256,64,2.15,843.6833348274231
2,64,7.77,852.6932218074799
128,64,2.21,856.1353838443756
32,64,2.52,859.8765888214111
8,64,4.27,865.380824804306
1,64,9.96,876.5600447654724
512,256,2.17,879.9718477725983
512,32,3.36,884.5920898914337
512,512,2.17,887.9857096672058
512,128,2.86,892.1392676830292
512,2048,2.74,896.3763327598572
512,1024,2.46,900.5255608558655
512,8,14.33,916.4424607753754
256,256,1.98,919.8269248008728
256,512,2.03,923.1330759525299
256,1024,1.97,926.3716039657593
256,32,4.07,931.691862821579
256,128,2.12,935.1767587661743
256,1,110.96,1047.3821818828583
256,8,14.05,1062.8820748329163
16,1024,1.97,1066.1342747211456
4,1024,2.04,1069.4256138801575
64,1024,1.92,1072.5999748706818
1024,1024,2.59,1076.4342069625854
8,1024,2.08,1079.8589298725128
128,1024,1.94,1083.0404977798462
1,1024,3.18,1087.4774956703186
2,1024,2.49,1091.2477357387543
1024,512,2.98,1095.526294708252
64,512,2.47,1099.318974018097
4,512,2.57,1103.2157719135284
16,512,2.26,1106.7010807991028
8,512,2.28,1110.2759008407593
128,512,2.03,1113.5155537128448
32,512,2.06,1116.849042892456
1024,256,3.45,1121.5468218326569
128,256,2.04,1124.8764460086823
1,256,6.54,1132.691662788391
128,128,2.03,1135.976191997528
128,32,3.25,1140.460768699646
128,2048,1.93,1143.6310648918152
1024,2048,2.11,1146.966186761856
1024,32,5.09,1153.297278881073
1024,128,4.31,1158.8930687904358
1,2048,1.87,1162.0038998126984
64,128,2.05,1165.281935930252
32,2048,1.93,1168.4675059318542
16,128,2.57,1172.3074278831482
64,2048,1.91,1175.4915556907654
16,2048,1.95,1178.7299168109894
8,2048,1.95,1181.909204006195
4,2048,1.7,1184.852918624878
32,128,2.18,1188.3029696941376
1,128,7.81,1197.352383852005
32,256,2.05,1200.6917247772217
64,256,1.99,1203.985327720642
16,256,2.37,1207.632691860199
4,256,3.0,1211.897169828415
8,128,3.09,1216.621055841446
1,32,10.96,1229.4210019111633
1024,16,9.26,1240.1260879039764
4,128,3.85,1245.4097757339478
