p0,p1,RUNTIME,elapsed_sec
1,1,13.18,34.416674852371216
250,13,5.56,41.210607051849365
125,13,5.67,48.03307509422302
500,5,5.77,55.14488887786865
1000,20,6.55,63.13998603820801
125,520,2.84,67.42995500564575
40,13,3.81,72.71289896965027
20,13,4.79,79.01594710350037
8,50,6.27,86.83084297180176
10,2,5.85,94.1815140247345
125,4,6.21,101.95912194252014
125,1,8.49,111.94585394859314
2,13,8.25,121.64331984519958
125,100,2.75,125.89255094528198
125,2,6.83,134.1333270072937
125,1300,2.81,138.39749908447266
125,260,2.91,142.71518921852112
125,2600,2.59,146.7311761379242
125,650,2.7,150.86129212379456
125,20,5.64,157.9822061061859
125,25,5.68,165.14401006698608
125,40,3.04,169.6629729270935
125,50,3.08,174.11271905899048
125,52,3.02,178.53441214561462
125,325,3.05,182.97102904319763
125,10,5.97,190.3549132347107
125,104,2.75,194.54855608940125
125,5,5.92,201.8979790210724
125,200,2.82,206.20904302597046
8,13,7.38,214.96543502807617
20,1300,2.73,219.1367609500885
40,52,2.32,222.86605095863342
80,5,5.69,229.9785759449005
5,10,10.78,242.14117789268494
80,25,6.55,250.37819004058838
100,325,81.0,333.9225790500641
250,650,3.06,341.1017460823059
1000,260,3.5,347.68783497810364
80,200,3.46,361.0975399017334
80,104,3.19,366.4425518512726
80,100,3.0,371.48502683639526
20,25,4.7,378.1594672203064
80,325,3.74,383.84967398643494
20,325,5.38,391.10781598091125
20,40,4.03,397.54756593704224
20,200,3.26,403.1245148181915
20,52,3.58,408.8129758834839
20,650,3.63,414.07257294654846
2,52,12.46,428.11419200897217
20,260,3.6,433.5247690677643
80,650,2.84,437.99300599098206
16,650,3.05,443.3592281341553
50,650,2.92,447.902752161026
2,650,6.34,455.95903396606445
80,260,3.25,461.4245910644531
4,260,4.73,468.37697100639343
40,260,2.91,473.255450963974
40,200,3.38,478.5447199344635
40,325,3.8,483.996817111969
200,325,3.23,488.9333550930023
8,325,3.74,494.2529261112213
250,325,3.2,499.0047519207001
500,325,4.0,504.57431507110596
1000,325,3.45,509.85663294792175
25,325,4.63,516.6456091403961
16,325,4.57,523.5840630531311
4,325,4.44,529.7055230140686
50,325,3.3,534.6786510944366
2000,325,3.42,539.6560621261597
400,325,3.21,544.382385969162
1,325,10.58,556.5472810268402
10,325,5.5,564.6018869876862
5,325,5.21,573.3523440361023
2,325,6.8,583.1562728881836
1000,650,3.09,588.1847350597382
25,650,2.93,592.7671329975128
500,650,2.91,597.511637210846
100,650,2.82,601.9087362289429
1,650,7.07,610.4999408721924
400,650,2.81,614.9932179450989
10,650,2.91,619.4702880382538
5,650,3.34,624.3764600753784
8,650,3.12,629.1900901794434
200,650,2.84,633.6646318435669
2000,650,3.69,638.9264869689941
4,650,3.74,644.2394790649414
10,260,3.22,649.1726968288422
1,260,10.86,661.5866990089417
2000,260,3.18,666.4600169658661
100,260,2.93,670.908411026001
100,200,2.85,675.2874979972839
100,13,6.1,682.9217901229858
100,52,3.17,687.7023661136627
100,40,3.21,692.4649610519409
100,100,3.16,697.1995532512665
100,4,8.18,710.0996639728546
100,1,8.6,722.7691369056702
100,2,7.02,732.7798550128937
100,50,3.26,738.4594759941101
