p0,p1,p2,p3,p4,p5,RUNTIME,elapsed_sec
1,1,1,1,1,1,-1.0,12.18494963645935
1000,1,25,10,80,800,-1.0,12.59231162071228
500,100,1200,5,12,25,-1.0,13.0793137550354
2,1,5,40,60,80,-1.0,14.842550039291382
20,40,10,200,150,16,-1.0,17.706847190856934
5,400,1,100,30,50,-1.0,20.507803678512573
4,1,1200,250,200,200,-1.0,23.507746934890747
10,100,120,100,600,1,-1.0,26.366658926010132
20,80,6,125,1,32,-1.0,29.176594018936157
100,25,48,25,6,4,-1.0,32.01245927810669
100,20,1200,4,2,50,-1.0,34.81202793121338
10,40,48,125,75,1,-1.0,37.64402103424072
2,25,75,10,30,800,-1.0,40.45882177352905
40,80,200,1000,1,25,-1.0,43.24087738990784
200,2,40,50,200,50,-1.0,46.07148098945618
10,160,24,50,100,25,-1.0,48.89076638221741
8,16,40,100,100,20,-1.0,51.64870285987854
40,100,8,4,12,8,-1.0,54.477463245391846
10,16,200,1,120,80,-1.0,57.50652194023132
2,4,75,1,1200,400,-1.0,60.272358894348145
125,200,75,5,300,1,-1.0,63.09507870674133
500,40,600,250,80,200,-1.0,65.8748128414154
40,25,25,250,50,800,-1.0,68.66890501976013
5,32,2,500,3,10,-1.0,71.43905091285706
100,50,120,200,5,400,-1.0,74.20316791534424
4,8,75,4,240,5,-1.0,77.0769989490509
8,25,400,1,50,200,-1.0,79.88266110420227
200,8,150,250,2,160,-1.0,82.62067198753357
200,5,5,5,30,50,-1.0,85.40820145606995
4,200,15,2,15,5,-1.0,88.20391869544983
40,800,1,1,600,160,-1.0,90.96542549133301
125,8,12,500,200,8,-1.0,93.74574851989746
40,20,10,40,100,4,-1.0,96.72794318199158
5,160,12,250,4,50,-1.0,99.49428653717041
20,400,50,8,8,200,-1.0,102.3084728717804
8,50,240,50,25,5,-1.0,105.0693142414093
500,800,16,200,24,4,-1.0,107.84770131111145
25,20,600,100,75,40,-1.0,110.59906315803528
8,2,300,200,80,50,-1.0,113.34702944755554
500,400,75,200,2,2,-1.0,116.09572720527649
10,100,8,200,200,20,-1.0,118.85328316688538
100,400,5,1,8,50,-1.0,121.60375189781189
500,5,20,100,30,8,-1.0,124.37297916412354
50,40,1200,25,200,10,-1.0,127.1415741443634
25,32,48,8,2,400,-1.0,130.07366251945496
125,800,60,500,8,25,-1.0,132.83313250541687
500,16,6,2,1,20,-1.0,135.59393548965454
10,25,5,2,20,10,-1.0,138.4506537914276
50,4,3,1000,200,5,-1.0,141.24515461921692
25,25,8,125,30,10,-1.0,143.98911261558533
40,200,300,50,4,25,-1.0,146.79533505439758
1000,20,48,500,3,20,-1.0,149.57439637184143
10,2,400,250,6,2,-1.0,152.3196964263916
50,80,150,100,80,16,-1.0,155.08053731918335
10,5,75,500,80,80,-1.0,157.8479721546173
5,160,10,50,120,16,-1.0,160.6535713672638
500,5,100,125,3,100,-1.0,163.42449045181274
50,8,16,10,25,200,-1.0,166.41568231582642
10,25,8,8,12,10,-1.0,169.2532331943512
500,16,15,40,1200,2,-1.0,171.98019742965698
8,200,40,1000,40,32,-1.0,174.7411506175995
500,800,24,500,3,80,-1.0,177.60236525535583
2,100,300,40,400,4,-1.0,180.34561800956726
500,80,60,500,25,8,-1.0,183.0989592075348
20,50,60,4,30,400,-1.0,185.8531517982483
2,10,48,5,2,4,-1.0,188.62529921531677
8,8,600,1,1,160,-1.0,191.3740839958191
50,1,10,25,300,50,-1.0,194.113671541214
1000,50,240,250,4,16,-1.0,196.8534255027771
500,400,8,250,50,80,-1.0,199.8307113647461
5,1,50,10,4,25,-1.0,202.57084965705872
20,25,80,250,25,20,-1.0,205.350900888443
1000,50,48,20,16,2,-1.0,208.11270427703857
1,400,240,125,400,160,-1.0,210.87070631980896
4,16,25,4,24,32,-1.0,213.6135857105255
200,40,4,2,300,16,-1.0,216.39422869682312
125,16,48,20,300,8,-1.0,219.14050102233887
125,10,25,100,600,20,-1.0,221.87298583984375
1000,200,15,10,24,200,-1.0,224.6062707901001
8,16,100,5,10,100,-1.0,227.4290053844452
25,160,10,4,80,16,-1.0,230.21181559562683
4,50,75,2,600,1,-1.0,233.10650897026062
2,50,5,500,12,50,-1.0,235.87077736854553
500,160,75,125,150,5,-1.0,238.6351261138916
50,4,16,100,3,32,-1.0,241.364684343338
1000,2,4,1,5,160,-1.0,244.09401178359985
25,40,16,10,100,8,-1.0,246.8396508693695
25,10,20,10,12,32,-1.0,249.6175661087036
125,20,15,8,8,8,-1.0,252.355224609375
4,32,15,1000,240,32,-1.0,255.11317038536072
250,32,300,4,16,25,-1.0,257.93317103385925
500,10,100,20,5,100,-1.0,260.68093633651733
5,50,30,25,16,16,-1.0,263.4013283252716
20,5,150,2,25,4,-1.0,266.1416234970093
10,50,15,200,4,40,-1.0,269.0834765434265
125,5,100,2,100,10,-1.0,271.82591700553894
1000,800,200,40,25,1,-1.0,274.6090998649597
200,100,4,40,25,8,-1.0,277.39125084877014
25,32,5,40,2,8,-1.0,280.20132970809937
