p0,p1,RUNTIME,elapsed_sec
1,1,1.31,30.81548285484314
1000,1,2.23,34.28955078125
200,80,0.38,35.6808876991272
250,6,0.73,37.44583201408386
8,6,0.67,39.2368528842926
40,4,0.57,40.94837403297424
4,100,0.5,42.745370864868164
40,16,0.68,44.73167896270752
25,25,0.45,46.393738985061646
8,20,0.44,47.928972005844116
1000,400,0.33,49.31649208068848
500,10,0.73,51.089545011520386
8,4,1.42,53.59119272232056
4,120,0.36,55.134369134902954
250,50,0.39,56.61764883995056
50,2,0.59,58.31921100616455
1000,24,0.7,60.057283878326416
1000,100,0.37,61.46240997314453
1000,3,1.01,63.524035930633545
1000,120,0.41,64.96818494796753
1000,48,0.42,66.47046613693237
1000,4,0.85,68.36133694648743
1000,300,0.38,69.75967597961426
1000,40,0.36,71.19374012947083
1000,12,0.7,72.9430558681488
1000,80,0.35,74.31559610366821
1000,8,0.8,76.16116881370544
1000,10,0.7,77.88735580444336
1000,150,0.39,79.31785488128662
1000,200,0.35,80.84299182891846
1000,75,0.42,82.36067581176758
1000,240,0.35,83.7699089050293
1000,16,0.68,85.48408889770508
1000,25,0.7,87.22489094734192
1000,2,1.18,89.42071294784546
1000,5,0.88,91.34984087944031
1000,30,0.37,92.73526096343994
1000,600,0.36,94.72812914848328
1000,1200,0.36,96.23365783691406
1000,20,0.71,98.00182580947876
1000,60,0.36,99.40994596481323
1000,50,0.36,100.8419258594513
1000,6,0.84,102.77104496955872
1000,15,0.83,104.71791100502014
8,16,0.48,106.48825693130493
8,240,0.34,107.93774795532227
8,120,0.4,109.46849584579468
8,40,0.44,111.02170491218567
8,15,0.42,112.59597587585449
8,12,0.43,114.13475370407104
8,300,0.33,115.5481207370758
8,3,0.57,117.217129945755
8,25,0.48,118.79163193702698
8,1200,0.31,120.16482305526733
8,400,0.32,121.61123991012573
8,100,0.39,123.10974478721619
8,2,0.78,125.02937698364258
8,80,0.46,126.98561596870422
5,4,0.8,128.9614999294281
8,8,0.61,130.62974786758423
8,24,0.48,132.24714875221252
8,150,0.33,133.68807291984558
8,600,0.34,135.1905379295349
8,1,0.33,136.57474303245544
5,1,0.42,138.11369705200195
20,1,0.33,139.54329705238342
250,1,1.54,142.14359188079834
50,1,0.79,143.9800567626953
8,60,0.59,145.67364883422852
25,1,0.41,147.2335078716278
40,1,0.8,149.08543181419373
500,1,1.86,152.02153992652893
8,10,0.57,153.79813289642334
125,1,0.97,155.8801407814026
8,200,0.33,157.35130977630615
2,1,0.75,159.266037940979
8,50,0.51,160.8589210510254
8,75,0.54,162.8634068965912
8,48,0.79,165.46276998519897
8,5,0.66,167.36963391304016
100,1,1.11,169.59927678108215
8,30,0.68,171.51819896697998
10,1,0.35,172.9780957698822
200,1,1.57,175.64407205581665
4,1,0.48,177.19710087776184
500,4,0.71,179.01147294044495
500,80,0.45,180.53347778320312
500,2,0.91,182.55078506469727
500,50,0.68,184.32643103599548
250,80,0.46,186.22226095199585
250,120,0.74,188.59629011154175
500,120,0.42,190.63265681266785
5,120,0.37,192.10680079460144
25,120,0.36,193.58274793624878
125,120,0.36,194.98839592933655
10,120,0.39,196.5006227493286
20,120,0.36,197.9357078075409
50,120,0.34,199.36729192733765
200,120,0.4,200.88174486160278
